BioSample_s	Experiment_s	InsertSize_l	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	tissue_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN01804509	SRX203282	200	2012-11-08	27733	18644	2013-03-27	SRR611806	SRS374528	T00	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01804509	SRX203283	300	2012-11-08	15970	10415	2013-03-27	SRR611807	SRS374528	T00	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01804514	SRX203289	300	2012-11-08	16030	10534	2013-03-27	SRR611822	SRS374534	T06	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01804514	SRX203290	200	2012-11-08	27521	18461	2013-03-27	SRR611823	SRS374534	T06	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01804521	SRX203297	200	2012-11-08	26732	18172	2013-03-27	SRR611834	SRS374541	T12	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01804521	SRX203298	300	2012-11-09	18352	12428	2013-03-27	SRR611835	SRS374541	T12	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01804523	SRX203299	200	2012-11-08	26459	17795	2013-03-27	SRR611836	SRS374543	T18	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01804523	SRX203300	300	2012-11-09	17881	11820	2013-03-27	SRR611837	SRS374543	T18	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01804524	SRX203301	200	2012-11-11	23466	15926	2013-03-27	SRR611838	SRS374544	T24	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01804524	SRX203302	300	2012-11-08	22168	14815	2013-03-27	SRR611839	SRS374544	T24	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01805554	SRX204195	200	2012-11-11	23517	15753	2013-03-27	SRR616188	SRS375094	T30	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01805554	SRX204196	300	2012-11-11	17154	11315	2013-03-27	SRR616189	SRS375094	T30	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01805555	SRX204197	200	2012-11-11	25994	17515	2013-03-27	SRR616190	SRS375095	T36	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01805555	SRX204198	300	2012-11-12	19337	12775	2013-03-27	SRR616191	SRS375095	T36	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01805557	SRX204199	200	2012-11-12	17303	11618	2013-03-27	SRR616192	SRS375097	T42	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01805557	SRX204200	300	2012-11-11	21532	14668	2013-03-27	SRR616193	SRS375097	T42	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01805558	SRX204201	200	2012-11-12	17999	12102	2013-03-27	SRR616194	SRS375098	T48	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
SAMN01805558	SRX204202	300	2012-11-12	19537	13504	2013-03-27	SRR616195	SRS375098	T48	<not provided>	RNA-Seq	<not provided>	PRJNA179196	ACADEMIA SINICA	public	PAIRED	cDNA	TRANSCRIPTOMIC	<not provided>	Zea mays	ILLUMINA	SRP017122	<not provided>	<not provided>	<not provided>
