BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	source_name_s	tissue_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	genotype_s
SAMN02334471	SRX339756	3240	2141	SRR957415	SRS473579	GSM1215320	endosperm 12 days after pollination	endosperm 12 days after pollination	RNA-Seq	100	PRJNA217053	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2013-08-27	Zea mays	ILLUMINA	2016-08-19	SRP029238	B73
SAMN02334440	SRX339757	3161	2090	SRR957416	SRS473580	GSM1215321	endosperm 12 days after pollination	endosperm 12 days after pollination	RNA-Seq	100	PRJNA217053	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2013-08-27	Zea mays	ILLUMINA	2016-08-19	SRP029238	B73
SAMN02334441	SRX339758	3301	2186	SRR957417	SRS473581	GSM1215322	endosperm 12 days after pollination	endosperm 12 days after pollination	RNA-Seq	100	PRJNA217053	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2013-08-27	Zea mays	ILLUMINA	2016-08-19	SRP029238	B73
SAMN02334475	SRX339759	2089	1463	SRR957418	SRS473582	GSM1215323	pericarp and aleurone	pericarp and aleurone	RNA-Seq	100	PRJNA217053	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2013-08-27	Zea mays	ILLUMINA	2016-08-19	SRP029238	B73
SAMN02334442	SRX339760	2017	1410	SRR957419	SRS473583	GSM1215324	pericarp and aleurone	pericarp and aleurone	RNA-Seq	100	PRJNA217053	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2013-08-27	Zea mays	ILLUMINA	2016-08-19	SRP029238	B73
SAMN02334467	SRX339761	1444	1004	SRR957420	SRS473584	GSM1215325	pericarp and aleurone	pericarp and aleurone	RNA-Seq	100	PRJNA217053	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2013-08-27	Zea mays	ILLUMINA	2016-08-19	SRP029238	B73
SAMN02334473	SRX339762	1952	1357	SRR957421	SRS473585	GSM1215326	endosperm crown	endosperm crown	RNA-Seq	100	PRJNA217053	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2013-08-27	Zea mays	ILLUMINA	2016-08-19	SRP029238	B73
SAMN02334445	SRX339763	2141	1492	SRR957422	SRS473586	GSM1215327	endosperm crown	endosperm crown	RNA-Seq	100	PRJNA217053	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2013-08-27	Zea mays	ILLUMINA	2016-08-19	SRP029238	B73
SAMN02334448	SRX339764	2591	1829	SRR957423	SRS473587	GSM1215328	endosperm crown	endosperm crown	RNA-Seq	100	PRJNA217053	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2013-08-27	Zea mays	ILLUMINA	2016-08-19	SRP029238	B73
SAMN02334474	SRX339765	2533	1755	SRR957424	SRS473588	GSM1215329	symmetrical division zone	symmetrical division zone	RNA-Seq	100	PRJNA217053	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2013-08-27	Zea mays	ILLUMINA	2016-08-19	SRP029238	B73
SAMN02334443	SRX339766	2268	1572	SRR957425	SRS473589	GSM1215330	symmetrical division zone	symmetrical division zone	RNA-Seq	100	PRJNA217053	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2013-08-27	Zea mays	ILLUMINA	2016-08-19	SRP029238	B73
