Barcode,Number of ears,Total Weight seed_cob,Seed weight 1,Weight of 20 seeds,Average seed weight,Cob weight,Average cob weight,Average cob length,Average cob width,Cob length 1,Cob width 1,Cob length 2,Cob width 2,Cob length 3,Cob width 3,Cob length 4,Cob width 4,Cob length 5,Cob width 5,Cob length 6,Cob width 6,Cob length 7,Cob Width 7,Cob Length 8,Cob width 8,Number of Seeds 1
2018-2127OP_B37xMo17OP,3,245.2,186.1,6.3,94.55,59.1,19.7,150,26.67666667,160,26.45,140,25.8,150,27.78,,,,,,,,,,,
2018-1163OP_B73xMo17OP,4,668,586.8,6.2,295.4,81.2,20.3,196.75,26,201,28,180,25,195,25,211,26,,,,,,,,,
2018-4403OP_B37xMo17OP,3,367.7,313.6,4.6,158.3,54.1,18.03333333,189.3333333,24.78333333,168,22.82,192,25,208,26.53,,,,,,,,,,,
2018-2313OP_B73xMo17OP,4,451.4,383.5,5.8,193.75,67.9,16.975,160.25,24.5,172,25,160,24,150,24,159,25,,,,,,,,,
2018-4559OP_B73xMo17OP,3,542.5,477.5,6.2,240.25,65,21.66666667,210,22.54333333,210,23.34,210,22.84,210,21.45,,,,,,,,,,,
2018-1189OP_B73xMo17OP,3,677.1,604.8,6.4,303.9,72.3,24.1,210,27,200,28,220,26,210,27,,,,,,,,,,,
2018-2501OP_B37xMo17OP,4,247.6,201.4,5.7,102.7,46.2,11.55,140.75,23.155,96,22.62,171,23,151,24,145,23,,,,,,,,,
2018-2055op_b73XmO17OP,3,426.7,373.4,6.3,188.2,53.3,17.76666667,189.3333333,26.63,212,27.64,173,27.25,183,25,,,,,,,,,,,
2018-2449op_b37OP,1,7.1,6.1,4.7,3.55,1,1,130,22.9,130,22.9,,,,,,,,,,,,,,,
2018-4253OP_CML108OP,4,140.5,59.8,5.1,31.9,80.7,20.175,128.5,28,120,27,140,29,129,29,125,27,,,,,,,,,
2018-4249OP_B37xMo17OP,3,504.1,443.2,5.5,223.1,60.9,20.3,193.3333333,24.66666667,194,25,186,24,200,25,,,,,,,,,,,
2018-1025OP_B37xMo17OP,3,332.1,269.4,6.1,136.2,62.7,20.9,182.6666667,27.15333333,193,28.47,175,27.9,180,25.09,,,,,,,,,,,
2018-2085OP_B37xMo17OP,4,172.9,124.6,5.9,64.3,48.3,12.075,132.25,23,116,22,130,25,142,22,141,23,,,,,,,,,
2018-2113OP_A619OP,1,24.9,17,3.8,9,7.9,7.9,95,26.34,95,26.34,,,,,,,,,,,,,,,
2018-3141OP_B73xMo17OP,3,520.2,456.3,6.1,229.65,63.9,21.3,200,25.66666667,210,25,180,26,210,26,,,,,,,,,,,
2018-1495OP_B73xMo17OP,3,682.6,598.2,7.6,300.6,84.4,28.13333333,234.6666667,25.81333333,250,25.7,232,25.88,222,25.86,,,,,,,,,,,
2018-2287OP_B73xMo17OP,3,308.2,260.1,5,131.55,48.1,16.03333333,159.3333333,23.97,155,23.11,181,24.65,142,24.15,,,,,,,,,,,
2018-3559OP_B37xMo17OP,4,235.5,193.5,5.5,98.75,42,10.5,136,23.335,140,21.5,128,25.71,140,21.33,136,24.8,,,,,,,,,
2018-1047OP_B37xMo17OP,3,381.3,321.9,4.6,162.45,59.4,19.8,200,26.94333333,197,24.68,210,27.3,193,28.85,,,,,,,,,,,
2018-4085OP_B37xMo17OP,3,435.8,372.5,6.8,187.75,63.3,21.1,207.6666667,25.14,173,24.57,190,25.51,260,25.34,,,,,,,,,,,
2018-4583OP_B73xMo17OP,4,576.3,508.9,5.8,256.45,67.4,16.85,187.5,24,190,25,205,23,155,23,200,25,,,,,,,,,
2018-3387OP_W22OP,4,64.5,23.7,4.1,13.85,40.8,10.2,102,22.4475,109,22.33,136,24.68,70,20.08,93,22.7,,,,,,,,,
2018-4479OP_Mo17OP,4,248.6,210.9,6.4,107.45,37.7,9.425,147,20.585,130,20.34,160,21,133,20,165,21,,,,,,,,,
2018-2065OP_B73xMo17OP,2,296,258.4,5.8,130.2,37.6,18.8,175.5,25.44,171,25.58,180,25.3,,,,,,,,,,,,,
2018-1403OP_B73xMo17OP,3,388.9,336.2,5.9,169.6,52.7,17.56666667,171.6666667,25.33333333,185,26,150,23,180,27,,,,,,,,,,,
2018-4191OP_B73xMo17OP,3,443.3,381.2,5,192.1,62.1,20.7,187.3333333,24.16333333,194,25.4,183,24.67,185,22.42,,,,,,,,,,,
2018-4337OP_B73xMo17OP,3,615,546.3,6.8,274.65,68.7,22.9,204,24.97,191,24.29,194,25.41,227,25.21,,,,,,,,,,,
2018-4157OP_B73xMo17OP,3,530.8,473.4,5.6,238.2,57.4,19.13333333,198.3333333,26.45666667,192,26,220,26.37,183,27,,,,,,,,,,,
2018-2491OP_B37xMo17OP,4,164.4,112.1,7.1,58.05,52.3,13.075,141.75,21.2625,115,19,147,24.9,170,21.47,135,19.68,,,,,,,,,
2018-2253OP_B37xMo17OP,5,414.2,346.2,4.5,175.6,68,13.6,139.4,24.55,138,23.8,140,24.21,134,25.5,179,25.14,106,24.1,,,,,,,
2018-1511OP_B84OP,4,166.4,113.4,4.6,58.7,53,13.25,116.5,24.2375,109,21.86,116,24.87,132,24.52,109,25.7,,,,,,,,,
2018-2467OP_Mo17OP,4,198.6,166.2,6.1,85.1,32.4,8.1,147,19.765,140,20.69,165,20.37,133,19,150,19,,,,,,,,,
2018-2245OP_B73xMo17OP,4,374.2,319.6,6.1,161.8,54.6,13.65,156.75,24,164,25,152,23,156,24,155,24,,,,,,,,,
2018-1305OP_B73OP,4,110.3,78.9,4.2,41.45,31.4,7.85,96.5,24.25,86,25,83,23,100,22,117,27,,,,,,,,,
2018-3201OP_A619OP,4,193.3,160.8,3.8,82.4,32.5,8.125,115,26.6175,133,23.54,135,27.66,107,27.2,85,28.07,,,,,,,,,
