Run,Library name,MBases,MBytes,Experiment,LoadDate
SRR1507197,MLT84192,"9,637","6,559",SRX646318,7/22/14
SRR1507198,T084,"43,902","29,178",SRX646324,7/4/14
SRR1507199,ST-DE02,"54,138","36,991",SRX646325,7/4/14
SRR1507200,<not provided>,"41,880","28,497",SRX646326,7/5/14
SRR1507201,<not provided>,"46,935","32,715",SRX646327,7/5/14
SRR1507202,<not provided>,"45,979","32,951",SRX646328,7/5/14
SRR1507203,<not provided>,"51,834","35,793",SRX646329,7/5/14
SRR1507204,<not provided>,"43,216","30,311",SRX646330,7/6/14
SRR1507205,<not provided>,"45,351","30,656",SRX646331,7/6/14
SRR1507206,<not provided>,"46,900","31,780",SRX646332,7/6/14
