PLOT,LAT,LON,QUAD,MAPLE,ASH,OAK,TYPE
1,38.17,-86.22,SouthWest,227146,0,20650,Maple
2,38.82,-85.11,SouthEast,25649,25649,51299,Oak
3,39.08,-86.38,NorthWest,0,24005,120023,Oak
4,38.92,-85.06,SouthEast,1080711,71752,384880,Maple
5,38.83,-85.72,SouthEast,421935,0,25649,Maple
6,39.18,-85.41,NorthEast,21810,0,0,Maple
7,38.4,-86.4,SouthWest,0,299388,216308,Ash
8,39,-86.56,NorthWest,0,0,1617109,Oak
9,38.36,-86.51,SouthWest,438016,0,266143,Maple
10,38.46,-86.26,SouthWest,0,87572,58382,Ash
11,38.43,-86.22,SouthWest,0,0,79843,Oak
12,38.06,-86.46,SouthWest,994676,26614,186300,Maple
13,39.18,-84.98,NorthEast,447186,231863,28983,Maple
14,39.01,-84.97,NorthEast,0,1061215,0,Ash
15,39.37,-86.36,NorthWest,0,53229,464630,Oak
16,38.85,-85.09,SouthEast,1225626,0,115932,Maple
17,38.98,-85.03,SouthEast,0,109052,0,Ash
18,39.5,-85.13,NorthEast,0,0,71752,Oak
19,39.22,-86.06,NorthWest,1059665,0,402722,Maple
20,38.74,-86.38,SouthWest,266143,79843,292757,Oak
21,38.13,-86.2,SouthWest,608741,73372,0,Maple
22,38.17,-86.45,SouthWest,225693,363776,0,Ash
23,38.49,-86.4,SouthWest,463201,28159,42238,Maple
24,38.24,-87.15,SouthWest,0,0,45474,Oak
25,39.01,-85.11,NorthEast,25649,25649,76948,Oak
26,38.5,-86.14,SouthWest,133072,26614,0,Maple
27,39.24,-84.95,NorthEast,667615,0,0,Maple
28,38.81,-85.25,SouthEast,128247,230845,128247,Ash
29,39.19,-85.03,NorthEast,761882,43621,0,Maple
30,38.76,-85.25,SouthEast,337320,740071,152672,Ash
31,38.96,-85.5,SouthEast,0,0,95669,Oak
32,38.8,-85.39,SouthEast,1228636,0,0,Maple
33,38.49,-86.48,SouthWest,112634,14079,70396,Maple
34,38.08,-86.24,SouthWest,79843,331559,186300,Ash
35,39.09,-86.58,NorthWest,1352848,133072,0,Maple
36,38.56,-85.43,SouthEast,517859,106457,106457,Maple
37,39,-85.08,NorthEast,0,344987,0,Ash
38,38.13,-86.58,SouthWest,0,1459306,1035717,Ash
39,39.5,-84.95,NorthEast,480763,77189,0,Maple
40,38.08,-86.98,SouthWest,0,0,1231055,Oak
41,38.49,-86.56,SouthWest,70396,28159,533597,Oak
42,39.24,-86.47,NorthWest,26614,106457,358173,Oak
43,38.45,-86.13,SouthWest,716346,0,159686,Maple
44,38.12,-87.08,SouthWest,24457,0,244572,Oak
45,39.14,-86.07,NorthWest,145292,72646,48431,Maple
47,38.8,-85.27,SouthEast,86949,0,592101,Oak
48,38.64,-86.62,SouthWest,43805,0,181888,Oak
49,38.76,-85.29,SouthEast,65431,293700,0,Ash
50,38.84,-85.07,SouthEast,0,51299,153896,Oak
52,38.26,-86.61,SouthWest,716346,358173,212914,Maple
53,38.73,-85.13,SouthEast,0,447186,476169,Oak
54,38.69,-86.61,SouthWest,26614,0,26614,Maple
55,39.4,-87,NorthWest,53655,53655,0,Maple
57,38.59,-86.53,SouthWest,146743,0,220115,Oak
58,38.48,-86.5,SouthWest,106457,53229,79843,Maple
59,39.64,-86.3,NorthWest,0,72646,0,Ash
60,39.38,-86.04,NorthWest,0,20350,0,Ash
61,38.46,-86.45,SouthWest,915420,43270,283650,Maple
62,38.77,-85.28,SouthEast,0,102598,51299,Ash
63,38.99,-86.81,SouthWest,322343,0,298389,Maple
64,39.03,-85.37,NorthEast,771891,519357,77189,Maple
65,39.1,-86.36,NorthWest,392979,0,87609,Maple
66,39.12,-86.11,NorthWest,266143,384787,133072,Ash
67,38.52,-85.49,SouthEast,79843,26614,26614,Maple
68,40.75,-86.51,NorthWest,0,146340,0,Ash
70,39.01,-85.29,NorthEast,417518,287007,0,Maple
71,39.07,-85.43,NorthEast,5077787,0,0,Maple
72,38.81,-85.21,SouthEast,28983,28983,476169,Oak
73,38.15,-86.04,SouthWest,0,48068,0,Ash
74,38.27,-86.25,SouthWest,983667,0,88171,Maple
75,38.74,-85.13,SouthEast,389220,115932,115932,Maple
76,37.96,-86.68,SouthWest,796189,358173,26614,Maple
77,38.68,-86.1,SouthWest,452443,0,0,Maple
78,38.3,-87.44,SouthWest,47908,0,23954,Maple
79,38.14,-86.17,SouthWest,0,0,97829,Oak
80,38.72,-85.64,SouthEast,261724,21810,87241,Maple
81,38.82,-85.15,SouthEast,0,369683,297931,Ash
82,38.82,-85.43,SouthEast,480763,192973,192973,Maple
83,38.86,-85.19,SouthEast,25649,153896,0,Ash
84,39.2,-84.84,NorthEast,28983,86949,0,Ash
85,38.16,-86.25,SouthWest,339825,257227,20650,Maple
86,38.76,-86.56,SouthWest,79843,0,26614,Maple
87,39.89,-87.05,NorthWest,146340,1239765,0,Ash
88,39.15,-84.85,NorthEast,0,778440,0,Ash
89,38.45,-86.36,SouthWest,994676,26614,26614,Maple
90,38.35,-86.03,SouthWest,0,0,58382,Oak
91,38.53,-86.76,SouthWest,23954,0,490020,Oak
92,38.35,-85.75,SouthEast,53229,438016,26614,Ash
93,38.88,-84.97,SouthEast,23917,23917,47835,Oak
94,39.63,-84.95,NorthEast,0,87241,21810,Ash
95,38.95,-85.05,SouthEast,202881,115932,389220,Oak
96,38.39,-86.48,SouthWest,1074518,663117,1101133,Oak
97,38.23,-86.29,SouthWest,438931,35268,0,Maple
98,38.24,-86.27,SouthWest,52902,0,70537,Oak
99,38.37,-86.32,SouthWest,796189,106457,650930,Maple
100,38.52,-86.42,SouthWest,0,0,299388,Oak
101,39.54,-87.3,NorthWest,71862,23954,346297,Oak
102,38.04,-86.8,SouthWest,48068,48068,24034,Maple
104,38.9,-85.25,SouthEast,0,230845,0,Ash
106,39.47,-84.96,NorthEast,360237,418203,0,Ash
108,38.73,-85.44,SouthEast,0,0,396285,Oak
109,39.24,-84.93,NorthEast,57966,260846,57966,Ash
110,39.03,-85.81,NorthEast,363399,29191,29191,Maple
111,38.11,-86.23,SouthWest,52902,52902,0,Maple
112,38.37,-86.21,SouthWest,0,438016,212914,Ash
113,37.97,-86.7,SouthWest,304371,0,48914,Maple
114,38.7,-86.39,SouthWest,0,0,48068,Oak
115,38.17,-86.72,SouthWest,122286,48914,97829,Maple
116,38.24,-86.32,SouthWest,358173,26614,0,Maple
117,38.84,-84.89,SouthEast,76948,25649,205195,Oak
118,39.07,-86.63,NorthWest,1168789,0,212914,Maple
119,39.1,-84.9,NorthEast,128247,0,0,Maple
120,38.7,-85.17,SouthEast,524532,0,319337,Maple
121,39.11,-84.96,NorthEast,25649,473234,344987,Ash
123,37.86,-86.63,SouthWest,633198,24457,97829,Maple
124,38.83,-85.36,SouthEast,51299,51299,76948,Oak
125,38.3,-86.48,SouthWest,0,0,316076,Oak
127,38.82,-85.06,SouthEast,144915,447186,0,Ash
128,38.99,-85.01,SouthEast,447186,28983,57966,Maple
129,39.47,-86.28,NorthWest,24034,0,0,Maple
130,38.8,-85.51,SouthEast,524532,0,51299,Maple
131,39.87,-86.84,NorthWest,0,73324,48883,Ash
132,39.29,-84.9,NorthEast,144915,28983,173898,Oak
133,38.77,-85.08,SouthEast,487338,102598,319337,Maple
134,38.28,-86.46,SouthWest,231601,0,126713,Maple
135,38.08,-86.5,SouthWest,225693,0,58406,Maple
136,39,-86.27,NorthWest,84476,0,0,Maple
137,39.02,-85.45,NorthEast,424540,0,557952,Oak
138,39.02,-86.58,NorthWest,822803,358173,372600,Maple
139,38.88,-85.24,SouthEast,28983,28983,0,Maple
140,39.14,-84.99,NorthEast,1080711,0,28983,Maple
141,38.9,-85.35,SouthEast,25649,1302998,25649,Ash
142,38.85,-86.62,SouthWest,731027,0,548943,Maple
143,38.15,-86.43,SouthWest,273838,203442,301997,Oak
144,38.85,-85.25,SouthEast,1111908,76948,319337,Maple
145,38.87,-85.36,SouthEast,76948,153896,230845,Oak
146,38.05,-86.7,SouthWest,122286,328828,451114,Oak
147,39.26,-84.86,NorthEast,86949,318812,0,Ash
148,38.98,-84.87,SouthEast,0,28983,28983,Ash
149,38.15,-86.38,SouthWest,877770,0,24457,Maple
150,38.06,-85.95,SouthEast,755484,0,0,Maple
151,38.37,-85.97,SouthEast,146743,328828,657656,Oak
152,38.3,-86.33,SouthWest,464630,26614,79843,Maple
154,38.48,-86.53,SouthWest,353285,24457,293486,Maple
155,38.76,-85.09,SouthEast,0,144915,28983,Ash
156,38.05,-86.16,SouthWest,24457,0,146743,Oak
157,38.67,-85.61,SouthEast,597702,0,26614,Maple
158,37.98,-86.05,SouthWest,133072,26614,106457,Maple
159,38.2,-86.46,SouthWest,56317,0,0,Maple
160,39.38,-84.94,NorthEast,0,370636,0,Ash
161,38.42,-86.61,SouthWest,0,24005,72014,Oak
162,38.17,-86.48,SouthWest,14602,0,342505,Oak
163,38.77,-86.77,SouthWest,0,0,119770,Oak
164,38.19,-86.06,SouthWest,106457,26614,411401,Oak
165,39.6,-85.13,NorthEast,0,282143,0,Ash
166,38.26,-85.97,SouthEast,0,48914,24457,Ash
168,39.01,-86.52,NorthWest,0,323024,24005,Ash
169,39.32,-84.88,NorthEast,0,115932,1138677,Oak
170,38.27,-86.34,SouthWest,0,26614,558900,Oak
172,37.98,-86.58,SouthWest,14079,14079,28159,Oak
173,38.4,-86.23,SouthWest,358173,53229,0,Maple
174,39.42,-86.97,NorthWest,0,0,27075,Oak
175,38.32,-86.28,SouthWest,395807,0,35268,Maple
176,38.59,-86.74,SouthWest,42238,364646,0,Ash
