Species,Common Name,County,Year,Division,Temperature (Celsius) ,Flowering Date (Day of Year) 
Carduus_nutans,Nodding Thistle,Cuyahoga Co.,1974,DIV3,15,202
Carduus_nutans,Nodding Thistle,Erie Co.,1966,DIV2,15.91,180
Carduus_nutans,Nodding Thistle,Erie Co.,1966,DIV2,15.91,234
Carduus_nutans,Nodding Thistle,Erie Co.,1967,DIV2,16.27,193
Carduus_nutans,Nodding Thistle,Ottawa Co.,1978,DIV2,16.36,189
Carduus_nutans,Nodding Thistle,Erie Co.,1973,DIV2,16.74,178
Clematis_virginiana,Devil's darning needles,Ashtabula Co.,1972,DIV3,17.22,201
Clematis_virginiana,Devil's darning needles,Summit Co.,1971,DIV3,17.22,228
Carduus_nutans,Nodding Thistle,Montgomery Co.,1974,DIV8,17.36,191
Carduus_nutans,Nodding Thistle,Franklin Co.,1990,DIV5,17.53,164
Clematis_virginiana,Devil's darning needles,Summit Co.,1954,DIV3,17.72,222
Carduus_nutans,Nodding Thistle,Pickaway Co.,2009,DIV5,17.97,171
Clematis_virginiana,Devil's darning needles,Hocking Co.,1971,DIV10,17.98,222
Clematis_virginiana,Devil's darning needles,Medina Co.,1957,DIV3,18.04,193
Clematis_virginiana,Devil's darning needles,Medina Co.,1957,DIV3,18.04,224
Clematis_virginiana,Devil's darning needles,Ottawa Co.,1958,DIV2,18.57,192
Clematis_virginiana,Devil's darning needles,Hocking Co.,1972,DIV10,18.73,213
Clematis_virginiana,Devil's darning needles,Medina Co.,1970,DIV3,18.77,225
Clematis_virginiana,Devil's darning needles,Ottawa Co.,1972,DIV2,18.92,237
Clematis_virginiana,Devil's darning needles,Auglaize Co.,1929,DIV4,18.98,183
Clematis_virginiana,Devil's darning needles,Fulton Co.,1958,DIV1,19.08,229
Clematis_virginiana,Devil's darning needles,Erie Co.,1966,DIV2,19.11,235
Clematis_virginiana,Devil's darning needles,Sandusky Co.,1956,DIV2,19.25,217
Carduus_nutans,Nodding Thistle,Ross Co.,1987,DIV9,19.53,155
Clematis_virginiana,Devil's darning needles,Logan Co.,1990,DIV4,19.53,206
Clematis_virginiana,Devil's darning needles,Fairfield Co.,1958,DIV5,20.13,226
Clematis_virginiana,Devil's darning needles,Clermont Co.,2008,DIV8,20.33,232
Clematis_virginiana,Devil's darning needles,Warren Co.,2008,DIV8,20.33,231
Clematis_virginiana,Devil's darning needles,Erie Co.,1975,DIV2,20.74,238
Clematis_virginiana,Devil's darning needles,Sandusky Co.,1959,DIV2,21.09,232
Clematis_virginiana,Devil's darning needles,Pike Co.,1938,DIV9,21.71,239
Clematis_virginiana,Devil's darning needles,Jackson Co.,1934,DIV9,23.38,232
