Species,Common Name,County,Year,Division,Temperature (Celsius) ,Flowering Date (Day of Year) 
Cypripedium_acaule,Moccasin flower,Trumbull Co.,1907,DIV3,2.65,160
Cypripedium_acaule,Moccasin flower,Geauga Co.,1934,DIV3,2.73,143
Cornus_florida,Flowering dogwood,Medina Co.,1934,DIV3,2.73,132
Aquilegia_canadensis,Columbine,Cuyahoga Co.,1895,DIV3,2.88,139
Aquilegia_canadensis,Columbine,Hancock Co.,1978,DIV1,2.99,146
Aquilegia_canadensis,Columbine,Medina Co.,1960,DIV3,3.4,135
Aquilegia_canadensis,Columbine,Trumbull Co.,1960,DIV3,3.4,128
Cypripedium_acaule,Moccasin flower,Portage Co.,1900,DIV3,3.45,154
Cypripedium_acaule,Moccasin flower,Geauga Co.,1928,DIV3,3.75,148
Cornus_florida,Flowering dogwood,Cuyahoga Co.,1902,DIV3,3.81,131
Cornus_florida,Flowering dogwood,Geauga Co.,1956,DIV3,3.92,143
Cornus_florida,Flowering dogwood,Summit Co.,1972,DIV3,3.96,144
Cornus_florida,Flowering dogwood,Stark Co.,1960,DIV7,4.64,135
Aquilegia_canadensis,Columbine,Hocking Co.,1971,DIV10,4.76,138
Cornus_florida,Flowering dogwood,Hocking Co.,1971,DIV10,4.76,138
Aquilegia_canadensis,Columbine,Jefferson Co.,1958,DIV7,4.9,138
Aquilegia_canadensis,Columbine,Geauga Co.,1982,DIV3,4.91,140
Cornus_florida,Flowering dogwood,Allen Co.,1967,DIV1,4.96,121
Cornus_florida,Flowering dogwood,Allen Co.,1967,DIV1,4.96,146
Aquilegia_canadensis,Columbine,Lorain Co.,1967,DIV2,4.98,134
Cornus_florida,Flowering dogwood,Erie Co.,1967,DIV2,4.98,139
Cornus_florida,Flowering dogwood,Columbiana Co.,1900,DIV7,5.03,139
Cypripedium_acaule,Moccasin flower,Hocking Co.,1940,DIV10,5.21,146
Cypripedium_acaule,Moccasin flower,Hocking Co.,1940,DIV10,5.21,146
Castilleja_coccinea,Indian's Paintbrush,Portage Co.,1933,DIV3,5.27,141
Cornus_florida,Flowering dogwood,Cuyahoga Co.,1896,DIV3,5.32,136
Aquilegia_canadensis,Columbine,Hocking Co.,1996,DIV10,5.35,132
Cornus_florida,Flowering dogwood,Huron Co.,1966,DIV2,5.41,144
Cornus_florida,Flowering dogwood,Lorain Co.,1902,DIV2,5.41,142
Cornus_florida,Flowering dogwood,Seneca Co.,1966,DIV2,5.41,141
Castilleja_coccinea,Indian's Paintbrush,Geauga Co.,1959,DIV3,5.48,173
Cypripedium_acaule,Moccasin flower,Summit Co.,1957,DIV3,5.53,156
Aquilegia_canadensis,Columbine,Muskingum Co.,1963,DIV10,5.56,133
Aquilegia_canadensis,Columbine,Belmont Co.,1906,DIV10,5.58,130
Cornus_florida,Flowering dogwood,Huron Co.,1941,DIV2,5.66,131
Cornus_florida,Flowering dogwood,Huron Co.,2007,DIV2,5.7,126
Aquilegia_canadensis,Columbine,Ottawa Co.,1968,DIV2,5.71,130
Cornus_florida,Flowering dogwood,Ottawa Co.,1968,DIV2,5.71,130
Aquilegia_canadensis,Columbine,Champaign Co.,1963,DIV4,5.73,138
Aquilegia_canadensis,Columbine,Hardin Co.,1967,DIV4,5.74,142
Cornus_florida,Flowering dogwood,Belmont Co.,1905,DIV10,5.74,124
Cornus_florida,Flowering dogwood,Champaign Co.,1967,DIV4,5.74,128
Cornus_florida,Flowering dogwood,Vinton Co.,1937,DIV10,5.81,121
Cornus_florida,Flowering dogwood,Summit Co.,1973,DIV3,5.89,132
Cornus_florida,Flowering dogwood,Seneca Co.,1969,DIV2,5.91,129
Aquilegia_canadensis,Columbine,Carroll Co.,1961,DIV7,5.94,172
Aquilegia_canadensis,Columbine,Henry Co.,1968,DIV1,6.02,129
Aquilegia_canadensis,Columbine,Lucas Co.,2005,DIV1,6.07,149
Aquilegia_canadensis,Columbine,Hocking Co.,2007,DIV10,6.07,133
Aquilegia_canadensis,Columbine,Huron Co.,1970,DIV2,6.09,140
Aquilegia_canadensis,Columbine,Ottawa Co.,1970,DIV2,6.09,129
Cypripedium_acaule,Moccasin flower,Hocking Co.,1961,DIV10,6.11,131
Cornus_florida,Flowering dogwood,Hocking Co.,1961,DIV10,6.11,129
Cornus_florida,Flowering dogwood,Ashland Co.,1969,DIV6,6.17,136
Aquilegia_canadensis,Columbine,Henry Co.,1981,DIV1,6.26,146
Aquilegia_canadensis,Columbine,Wood Co.,1981,DIV1,6.26,139
Aquilegia_canadensis,Columbine,Shelby Co.,1905,DIV4,6.3,147
Castilleja_coccinea,Indian's Paintbrush,Ashland Co.,1970,DIV6,6.38,153
Cornus_florida,Flowering dogwood,Vinton Co.,1970,DIV10,6.41,122
Cornus_florida,Flowering dogwood,Vinton Co.,1970,DIV10,6.41,116
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1901,DIV5,6.42,176
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1901,DIV5,6.42,145
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1901,DIV5,6.42,141
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1901,DIV5,6.42,145
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1901,DIV5,6.42,145
Cypripedium_acaule,Moccasin flower,Fairfield Co.,1901,DIV5,6.42,145
Cornus_florida,Flowering dogwood,Fairfield Co.,1901,DIV5,6.42,145
Aquilegia_canadensis,Columbine,Erie Co.,1981,DIV2,6.5,151
